source,page,type,text
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,5,page,"3.2 Evaluation Models Our benchmarking study evaluates the performance of two distinct categories of LLMs with varying parameter sizes: general-purpose and coding-specific. General-purpose LLMs are designed for versatile text generation and comprehension across diverse domains, trained on extensive internet text datasets. Specifically, ChatGPT (gpt-35-turbo-16k) 2, LLaMa2-Chat-70B [44], InternLM-70B 3and InternLM2-20B are selected as the main baseline models. Coding-specific LLMs are fine-tuned and optimized for programming scenarios, excelling in code generation and technical language understanding. In this paper, the performance analysis of Codellama-34B [37] and SQLCoder-34B 4 are provided. 3.3 Dataset Construction Table 1: EX (%) of different LLMs on open source datasets. SQLCoder-34B InternLM-70B Codellama-34B LLama2-Chat-70B Spider Dev 65.00 67.40 71.60 54.70 BIRD Dev 32.07 29.60 28.29 20.60 We conduct a preliminary assessment of the performance of various LLMs on multiple open-source datasets. As depicted in Table 1, the performance of LLMs varies inconsistently across differ- ent datasets. Specifically, on the Spider dataset, Codellama-34B outperforms InternLM-70B and SQLCoder-34B, while on the Bird dataset, SQLCoder-34B surpasses InternLM-70B and Codellama- 34B. On the one hand, there may be differences in the problem types that different LLMs excel at handling. On the other hand, considering that LLMs learn and train from large corpora, these findings suggest that the performance discrepancies observed could be attributed to the potential utilization of open source datasets during the fine-tuning process for coding-specific LLMs. This poses challenges in ensuring the reliability of evaluation results obtained on these datasets. To address the potential overfitting of LLMs, particularly those specialized in coding tasks, and to ensure a reliable and accurate assessment of their capabilities, we construct a novel dataset, termed “BigTable-0.2k”. This dataset is an extension and augmentation of the BIRD dataset, which is a recently released and widely acknowledged benchmark for evaluating Text-to-SQL parsing. Table 2: The data distribution of “BigTable-0.2k” includes the average number of ground truth (GT) tables and columns involved in the instances. No. of GT Tables No. of Instances Avg. No. of Columns 1 50 23.30 2 50 56.94 3 50 31.73 >3 50 29.04 Specifically, our construction process involves a systematic analysis of the original BIRD dataset, identifying queries of varying difficulty levels and involving different numbers of tables (1, 2, 3, and more than 3). We modify and expand these queries by altering table and column names, as well as filtering conditions, to create a more diverse set of challenges. In cases where the original dataset lacks sufficient examples with four or more tables (there are only 20 instances in BIRD-Dev dataset), queries that involved three tables are expanded to four. As shown in Table 2, this process generates 50 new instances for each category, resulting in the “BigTable-0.2k” dataset. Moreover, each item in the dataset underwent mutual verification by at least two individuals to ensure the accuracy. Although the prevalence of queries involving more than three tables may not align with common real- world applications, this approach allows for a more nuanced evaluation of LLMs’ cognitive abilities across a spectrum of sub-tasks. Additionally, the “BigTable-0.2k” dataset retains the original BIRD dataset’s attributes, such as its large-scale and complexity, diversity of data sources, cross-domain applicability, and the requirement for external knowledge reasoning. Moreover, we standardize the 2https://chat.openai.com 3https://internlm.intern-ai.org.cn 4https://github.com/defog-ai/sqlcoder 5"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,11,caption,Table 1: EX (%) of different LLMs on open source datasets.
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,28,caption,Table 2: The data distribution of “BigTable-0.2k” includes the average number of ground truth (GT)
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,6,page,"dataset format to align with other benchmarks, by combining user NL questions Q with external knowledge E to form new, contextually rich questions. 4 Evaluation In this section, we formally evaluate the different sub-tasks within the Text-to-SQL process to determine the performance differences among various LLMs and provide recommendations for addressing specific task requirements. 1 DDL Format : 2 CREATE TABLE stadium ( stadium_id NUMBER PRIMARY KEY , location TEXT ,↰name TEXT , capacity NUMBER , highest NUMBER , lowest NUMBER , average↰NUMBER ); 3 SimpleDDL Format : 4 stadium ( Stadium_ID , Location ,Name , Capacity , Highest , Lowest , Average ); Listing 1: Examples of “DDL” and “SimpleDDL” formats. 1 MD Format : 2 ### How many singers do we have ? 3 HTML Format : 4 <Question > How many singers do we have ? </ Question > 5 Coding Format : 6 /* How many singers do we have ? */ Listing 2: Examples of “MD”, “HTML” and “Coding” formats. 1 Complete Format : 2 Question : How many singers do we have ? 3 SQL : SELECT 4 Chat Format : 5 Question : How many singers do we have ? 6 SQL : Listing 3: Examples of “Complete” and “Chat” formats. 4.1 Text2SQL 4.1.1 Zero-shot Prompting Optimization. Unlike previous learning-based studies, the primary challenge in LLM-based Text-to-SQL is the design of an effective prompt template P (as introduced in Section 3.1) for LLMs to generate accurate SQL queries, known as prompt engineering. Researchers have evaluated a variety of prompt templates [13]. However, these representations lack uniformity in their structure, making it difficult to find out how a specific feature within a prompt template impact performance. To address this issue, we investigate a more unified series of prompt templates. As shown in Listing 1- 3, these templates differ across three features: • DDL/SimpleDDL prefix affects the representation of the database schema S. – “DDL” (Data Definition Language) encompasses the standardized language that in- cludes commands for defining the structure and properties of a database, providing detailed information necessary for database creation, including column types and primary/foreign keys. – “SimpleDDL” is simplified by only supplying table and column names. • MD/HTML/Coding infix wraps the entire prompt template with Markdown syntax, HTML snippets and code comment blocks. • Complete/Chat postfix indicates the task of either completing SQL statements based on the ""SELECT"" clause or directly answering questions. 6"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,7,page,"1 ### Answer the question by sqlite SQL query only and with no↰explanation 2 ### Sqlite SQL tables , with their properties : 3 # 4 # stadium ( Stadium_ID , Location ,Name , Capacity , Highest , Lowest , Average ); 5 # singer ( Singer_ID ,Name , Country , Song_Name , Song_release_year ,Age ,↰Is_male ); 6 # concert ( concert_ID , concert_Name , Theme , Stadium_ID , Year ); 7 # singer_in_concert ( concert_ID , Singer_ID ). 8 # 9 ### How many singers do we have ? 10 ### SQL : Listing 4: Proposed prompt template “SimpleDDL-MD-Chat”. Table 3: EX (%) of 8 zero-shot prompt templates on Spider dev set. prompt template SQLCoder-34B Codellama-34B InternLM-70B Llama2-Chat-70B DDL-HTML-Chat 57.8 63.7 65.0 49.6 DDL-HTML-Complete 61.8 65.2 53.8 50.2 DDL-MD-Chat 63.2 68.4 66.3 48.7 DDL-MD-Complete 62.4 69.8 64.1 46.8 DDL-Coding-Chat 60.3 67.1 66.1 48.4 DDL-Coding-Complete 59.7 66.9 62.9 53.4 SimpleDDL-MD-Chat 65.0 71.6 67.4 54.7 SimpleDDL-MD-Complete 63.3 66.0 61.7 50.2 These features are combined to form a complete prompt template P, and more details of these representations can be found in Appendix A.1. We test these templates on Spider dev set. As shown in Table 3, “SimpleDDL-MD-Chat” (see Listing 4) consistently outperforms all other prompts when applied to all 5 backbone LLMs. To this end, we consistently utilize the prompt template “SimpleDDL-MD-Chat” throughout the subsequent evaluations in this paper. Core Conclusion 1. The prompt template “SimpleDDL-MD-Chat” achieves optimal performance in the Text-to-SQL task. Table 4: EX (%) of different LLMs on “BigTable-0.2k”. Prompt template is “SimpleDDL-MD-Chat"". No. of GT Tables ChatGPT SQLCoder-34B Codellama-34B InternLM-70B Llama2-Chat-70B InternLM2-20B 1 60.00 44.00 32.00 44.00 22.00 40.00 2 20.00 8.00 10.00 10.00 10.00 6.00 3 38.00 24.00 22.00 20.00 8.00 18.00 >3 30.00 20.00 12.00 10.00 8.00 20.00 Total 37.00 24.00 19.00 21.00 12.00 21.00 4.1.2 End-to-End Text2SQL evaluation. This research conducts an end-to-end evaluation of the Text-to-SQL capabilities of various LLMs using the ""SimpleDDL-MD-Chat"" prompt template on the ""BigTable-0.2k"" dataset, with results depicted in Table 4. Comparison of Performance Across Different Models.The results demonstrate a clear performance hierarchy among the models, with SQLCoder, CodeLlama, InternLM, and InternLM2 consistently outperforming Llama2-Chat. This finding highlights the effectiveness of coding-specific models, such as SQLCoder and CodeLlama, in the Text-to-SQL domain. Additionally, certain general-purpose models, like InternLM and InternLM2, can achieve performance levels comparable to specialized models, even without fine-tuning for coding tasks. Difficulty Comparison Across Different Numbers of GT Tables. We examine the query difficulty based on the number of GT tables involved. The results reveal a decrease in EX as the number of GT tables increases. Notably, the EX for models on queries with two GT tables is unexpectedly lower 7"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,12,caption,Table 3: EX (%) of 8 zero-shot prompt templates on Spider dev set.
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,29,caption,"Table 4: EX (%) of different LLMs on “BigTable-0.2k”. Prompt template is “SimpleDDL-MD-Chat""."
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,8,page,"(a) SQLCoder (b) Codellama (c) LLama2 (d) InternLM (e) InternLM2 Figure 3: Word cloud representation of error information for incorrect SQL queries generated by LLMs. Top: System Error and Result Error. Bottom: Detailed classification of Result Error. compared to those with three or more GT tables. This observation can be attributed to the fact that queries involving two GT tables have the highest average number of columns (see Table 2). Core Conclusion 2. As the number of tables and columns involved in user queries increases, the Text-to-SQL challenge for LLMs significantly escalates. 4.2 SQL Debugging In recent studies, researchers have demonstrated that LLMs possess self-reflection and self-correction capabilities similar to those of humans [53, 41, 57]. Additionally, previous studies also investigate the potential of LLMs to debug the code they generate [4, 33]. In this section, we provide a comprehensive analysis of the performance of numerous SQL debugging methods across LLMs. 4.2.1 Debugging Dataset We collect incorrect SQL queries generated by various LLMs in Section 4.1.2 and visualize the distribution of their error information, as shown in Figure 3. The error information can be divided into two categories: • System Error refers to syntax errors in the SQL statement, and the detailed system error information is generated by the Database Management System (DBMS), e.g., “syntax error” and “no such column”. • Result Error indicates that the syntax of the SQL statement is correct, but the execution result does not match the ground truth. The word cloud distribution reveals that “no such column” and Result Error are the primary areas of error concentration for all models. Additionally, more advanced models exhibit a greater proportion of the Result Error. This aligns with expectations, as powerful models are less prone to low-level System Errors. However, the concise nature of the error information in the Result Error category significantly hampers the debugging performance. Therefore, we propose a further detailed classification method. Specifically, in addressing the Result Error category, we categorize these errors based on the logical construction of SQL statements. This classification is prioritized according to the logical structure within the SQL query. It is delineated in order into the following five subcategories: (1) Table Query Errorpertains to issues related to the selection of tables in the SQL query. It is further subdivided into three types: Excessive/Missing/Incorrect Tables, which respectively address scenarios where unnecessary tables are included, required tables are omitted, or the wrong tables are referenced. (2) Column Selection Error focuses on the appropriateness of column selection. Similar to the Table Query Error, it is broken down into Excessive/Missing/Incorrect Columns. (3) Join Columns Error examines the errors associated with JOIN operations. (4) Condition Filter Error encompasses errors that occur in the conditions used to filter the data, including incorrect comparisons or misapplied filters. 8"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,2,caption,Figure 3: Word cloud representation of error information for incorrect SQL queries generated by
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,9,page,"Figure 4: EX (%) improvement brought by self debug. Figure 5: Left: EX (%) improvement brought by multi-round self debug. Right: Numbers of wrong SQL queries of detailed error type during the process of multi-round self debug. (5) Data Processing Error pertains to errors in the data processing stage, which includes aggregations, calculations, etc. applied to the data within the SQL query. During the categorization process, we employ rules to determine the first three error types and utilize LLMs to perform binary classification for the last two error types (see Appendix A.2). The distribution of different subcategories within Result Error is shown in the bottom section of Figure 3. 4.2.2 Debug Evaluation To assess the impact of different levels of information granularity on performance, we propose 5 distinct strategies for self-debugging, progressively incorporating more detailed information: • Regenerate. Simply regenerate the SQL query with the same prompt in Section 4.1. This setting acts as a baseline to eliminate the impact of model randomness. • w/ Wrong SQL. Let LLMs generate a new SQL query based on the wrong SQL statement. • w/ Wrong SQL + System_error_info. Provide the wrong SQL statement, the corresponding System Error information and the rough Result Error information. • w/ Wrong SQL + All_error_info. Add detailed Result Error information for those SQL queries that are syntactically correct but semantically wrong. • w/ Wrong SQL + All_error_info + Comment . Add manual annotations for all error information. See Appendix A.2 for a detailed prompt template. What is the most powerful information organization of self debug? As shown in Figure 4, it is evident that the self-debugging performance of LLMs exhibits an upward trend with the introduction of more granular error information. In the absence of additional information, LLM does not possess the capability to regenerate correct answers. However, all models are able to comprehend fine-grained error information, whether it includes comments or not, and rectify their own mistakes. Core Conclusion 3. Detailed error information and corresponding annotations greatly enhance the capabilities of LLMs, enabling them to effectively correct errors. Can LLMs benefit from multi-round self debug? As shown in Figure 5, substantial improvements in EX are achieved in the initial rounds of debugging, yet the performance gain become marginal later. This indicates that conducting 1-2 debugging rounds might strikes a favorable balance between 9"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,1,caption,Figure 4: EX (%) improvement brought by self debug.
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,2,caption,Figure 5: Left: EX (%) improvement brought by multi-round self debug. Right: Numbers of wrong
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,10,page,"Table 5: EX (%) results of general debug. Each column demonstrates the debugging results of SQLCoder or InternLM for the wrong SQL statements generated by the corresponding model. Dataset−→ SQLCoder-34B Codellama-34B InternLM-70B Llama2-Chat-70B SQLCoder Debugs All Errors Regenerate 0.00 12.42 13.21 18.75 w/ Wrong SQL 0.66 2.48 6.92 7.95 w/ Wrong SQL + System_error_info 4.64 11.18 9.43 11.36 w/ Wrong SQL + All_error_info 4.64 11.80 8.81 10.80 InternLM Debugs All Errors Regenerate 9.27 11.80 0.63 15.34 w/ Wrong SQL 7.95 10.56 5.66 9.66 w/ Wrong SQL + System_error_info10.60 10.56 8.81 11.93 w/ Wrong SQL + All_error_info 11.92 11.80 8.81 13.07 performance improvement and economic efficiency. In addition, we analyze the distribution of detailed error types during the multi-round self-debugging process. As the debugging rounds advance, we observe a reduction in System Error and a slight rise in Result Error. This suggests that although syntax errors are fixed, the regenerated SQL statements may still have semantic errors. With each round of debugging, the generated statements tend to transition from System Error to Result Error before eventually converging towards correct SQL statements. Core Conclusion 4. Multi-round self-debugging aids in error correction for LLMs, but there exists a performance boundary, with 1-2 rounds of debugging being the optimal choice. Can an LLM debug the error incurred by other LLMs (general debugging)? As depicted in Table 5, we select two representative LLMs, SQLCoder and InternLM, to assess their general debugging capabilities. When debugging erroneous SQL statements generated by other LLMs, additional error information can potentially impair the performance. Conversely, the most naive approach of simply regenerating the SQL statements often yields the best results. This highlights the differences between different LLMs. The debugger LLMs may not encounter errors caused by other LLMs, and these error type informations might confuse them. Consequently, it is unlikely to achieve performance improvement through general debugging. However, the integration of results generated by different LLMs holds promise as a future research direction. Core Conclusion 5. The performance of cross-LLM SQL debugging is inferior to the direct regener- ation. A multi-agent approach that integrates outputs from different models shows great potential. 4.3 SQL Optimization Execution efficiency of SQL queries is a critical aspect, particularly in real-time systems that utilize large-scale databases. In this section, we further explore whether LLMs are able to enhance the execution efficiency of correct SQL queries. Formally, the SQL optimization process [31] involves transforming the initial SQL queries Y into an optimized form, denoted as Yo, with the goal of improving efficiency while maintaining identical results: Yo = fM(Po(Y, I)), (2) where Po and I are the corresponding prompt template and the additional information used for SQL optimization, fM(·) represents the mapping function of the LLM M. VES is commonly employed to evaluate the efficiency of SQL query execution. However, in practice, LLMs can sometimes rewrite a correct SQL query into an incorrect one, making it challenging to figure out if the main reason for the decline in VES is due to these incorrect rewrites or a decrease in the SQL execution efficiency. To this end, we suggest adopting a complementary metric C-VES (Correct-VES): C-VES = P n∈Nc R(Yo n, ˆYn) |Nc| , (3) where Nc .= {n|1 (Vn, ˆVn) = 1}. (4) 10"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,1,caption,Table 5: EX (%) results of general debug. Each column demonstrates the debugging results of
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,11,page,"Here, Nc represent the set of accurate SQLs (see Appendix C.1 for detailed notations). C-VES is designed exclusively to validate the capability of LLMs to generate more efficient SQL queries, regardless of the potential drawback of rewriting correct SQLs into erroneous ones. Do LLMs have the capability for SQL self-optimization? To the best of our knowledge, we are the first to consider utilizing LLMs for SQL optimization. Specifically, we devise an extensive suite of prompts Po curated to SQL optimization: • with Y: In this basic form, only original SQL statements are provided. • w/ Y + S + Q: Further incorporates the database schema S and the user question Q. • w/ demo: Introduce few-shot demonstrations without explanations. Demonstrations are intu- itively designed, incorporating common optimization rules, such as substituting“COUNT(*)” with “COUNT(<column_name>)”. • w/ demo + comments : Add an explanation for the few-shot demonstrations. See Ap- pendix A.3 for a detailed prompt template. • SimpleDDL-MD-Chat-Efficiency: To avoid the accumulation of errors caused by multiple generations, this prompt template require LLMs to directly generate the most efficient SQL query statement based on user query. Table 6: VES and C-VES results of different SQL optimization methods. Methods Prompt Template Metrics ChatGPT SQLCoder-34B Codellama-34B InternLM-70B InternLM2-20B Baseline SimpleDDL-MD-Chat VES 36.90 24.28 18.94 22.63 19.81C-VES102.50 101.17 99.68 110.39 94.33 Two-Stage Generation zero-shot withY VES 30.73 16.86 17.34 15.33 20.28C-VES102.43 102.19 102.08 102.17 101.42 w/Y+S+Q VES 32.21 18.90 19.28 18.44 20.77C-VES102.24 102.14 101.47 102.43 101.30 few-shotw/ demo VES 32.19 18.84 18.34 17.97 20.86C-VES102.18 101.84 101.88 102.68 101.75 w/ demo + commentsVES 32.65 18.28 18.52 17.45 20.92C-VES102.03 101.54 102.86 102.66 102.06 Direct Generation SimpleDDL-MD-Chat-EfficiencyVES 39.26 27.77 20.75 25.23 25.93C-VES 103.31 102.84 103.75 102.98 101.70 The effectiveness of these SQL optimization methods are demonstrated in Table 6. Almost all two- stage methods experience a significant decrease in VES. It can be attributed to the possibility of LLMs optimizing the correct SQL statements into incorrect ones, thereby resulting in a further decrease in accuracy. Even when considering only the correct results, the performance improvement in terms of execution efficiency brought by the optimized SQL statements is almost negligible. Furthermore, it is intriguing to note that directly instructing the LLM to generate efficient SQL statements appears to achieve improved accuracy. This suggests that placing higher demands on the LLM could yield surprisingly positive outcomes. Core Conclusion 6. In-context learning methods present challenges in achieving effective SQL optimization with LLMs. 4.4 SQL-to-Text The goal of SQL-to-Text is to transform the SQL query back into its original natural language question [51, 30, 42]. While it seems that SQL-to-Text cannot serve as a sub-task within the Text- to-SQL pipeline to improve the performance of End-to-End Text-to-SQL systems, employing this conversion as a supplementary step within the pipeline can indeed provide valuable insights. By converting the generated SQL statements back into text and juxtaposing these with the semantics of the original user questions, we can assess the accuracy of the SQL statements produced. In addition, it can assist researchers in evaluating the semantic comprehension capabilities of different LLMs, thus facilitating the development of more effective Text-to-SQL methodologies. To this end, we assess the performance of SQL-to-Text across different LLMs (See Appendix A.4 for prompt templates). The selected metrics for evaluation encompass the F1 values of Rouge-1/2/L and BertScore, along with the application of LLM to assess the semantic coherence between the two texts. The evaluation results are depicted in Table 7. ChatGPT and InternLM2 demonstrate the highest performance, followed by InternLM, while Codellama and SQLCoder exhibit comparatively lower 11"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,17,caption,Table 6: VES and C-VES results of different SQL optimization methods.
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,12,page,"Table 7: SQL-to-Text performance of different LLMs, including the F1 scores of Rouge and BertScore, as well as the accuracy rate assessed by LLM. ChatGPT SQLCoder-34B Codellama-34B InternLM-70B InternLM2-20B Llama2-Chat-70B Rouge-1 0.428 0.118 0.359 0.408 0.410 0.368Rouge-2 0.384 0.039 0.167 0.198 0.294 0.159Rouge-L 0.545 0.108 0.320 0.372 0.358 0.325BertScore 0.887 0.779 0.856 0.886 0.887 0.885ChatGPT Evaluator70.5% 8.5% 47.0% 63.5% 66.5% 50.0%InternLM2 Evaluator62% 22.5% 49.8% 65.8% 71.3% 60.0% performance. This highlights that even in regards to semantic description of code, general-purpose models exhibit significantly stronger descriptive capabilities compared to coding-specific models. Core Conclusion 7. Utilizing a general-purpose model for semantic description of SQL statements is a better choice. 4.5 Schema Linking Schema linking is recognized as a crucial prerequisite of generating correct SQL queries. It involves aligning entity references in the question with the corresponding schema tables or columns, requiring the model to understand both structure and value of the database, as well as the the semantics of user questions. In LLM-based Text-to-SQL, prior studies [ 9, 33] design prompt instructions with in-context learning examples to enable LLMs to retrieve linked tables and columns, which are then used for the downstream Text-to-SQL task. However, none of these methods individually evaluate the performance of schema linking, and explicit evaluation metrics have yet to be established. Moreover, despite considerable advancements in semantic comprehension and generalization brought by LLMs, the performance of schema linking is still far from promising. In this section, we aim to bridge these gaps by: (1) introducing a elaborately designed metrics to assess schema linking methods, (2) presenting a novel schema linking method “PreSQL”, which demonstrates superior performance, (3) conducting a comprehensive evaluation of a range of schema linking methods across various LLMs. 4.5.1 Evaluation Metric for Schema Linking: RES What schema linking method is considered good? A straightforward goal of schema linking is that the GT tables should be retrieved as much as possible. However, due to the ambiguity inherent in natural language and the potential semantic similarities between candidate tables, retrieving more GT tables typically comes at the cost of a higher redundancy, known as the precision-recall trade-off. As discussed in [33], excessive table retrieval can introduce redundant joins between tables, potentially impairing the EX of Text-to-SQL generation. Therefore, the objective of schema linking is to retrieve all GT tables while avoiding the retrieval of excessive tables (with minimal redundancy). To evaluate this, we design a comprehensive metric called Retrieval Efficiency Score (RES), defined as: RES = PN n=1 1 (Tn, ˆTn) · R(Tn, ˆTn) N , (5) where 1 (Tn, ˆTn) = ( 1, if Tn ⊆ ˆTn 0, if Tn ⊈ ˆTn , R (Tn, ˆTn) = s |Tn| | ˆTn| , (6) where Tn and ˆTn denote the set of GT tables and retrieved tables for the n-th instance, respectively, | · |refers to the scale of a set. We emphasize that the RES serves as a more appropriate metric for evaluating schema linking than the F1-score. This is because it aligns the principle that recalling all GT tables is more important than increasing the precision of retrieval, as the former constitutes a prerequisite for generating correct SQL queries. 4.5.2 Schema Linking Evaluation The methods we evaluated are as follows (see Appendix A.5 for the full prompt of these methods): 12"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,1,caption,"Table 7: SQL-to-Text performance of different LLMs, including the F1 scores of Rouge and BertScore,"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,13,page,"• Zero Shot: A schema linking prompt proposed in C3 [9], which instructs the LLM to rank all the tables from relevant to irrelevant in a zero-shot manner. • Few Shot: Instructing the LLM to retrieve only the most important tables with few-shot demonstration, presented in DIN-SQL [33]. • PreSQL: First, we employ the zero-shot Text-to-SQL described in Section 4.1 to generate a preliminary SQL query. From this preliminary SQL, table and column entities are parsed to serve as the retrieval results for schema linking. • Few Shot + PreSQL: This approach takes the union of the retrieval results from both the Few Shot and PreSQL methods, aiming to leverage the strengths of each. Note that we organize the information of the database schema in a way similar to ""SimpleDDL-"" in the prompt of all the methods mentioned above, which ignores the information about foreign keys. However, as argued in [46], foreign keys embody features of known schema relations and provide importance clues for understanding the database structure. To this end, we conduct experiments under both settings, w/ and w/o foreign keys, to investigate how incorporating foreign keys in the prompt influences the performance of schema linking. Results are demonstrated in Table 8 (refer to Appendix B for results on detailed metrics like Exact Match & Subset Match). Table 8: RES results of different Schema Linking methods. ChatGPT SQLCoder-34B InternLM-70B Codellama-34B InternLM2-20B Llama2-Chat-70B w/o fk w/ fk w/o fk w/ fk w/o fk w/ fk w/o fk w/ fk w/o fk w/ fk w/o fk w/ fk Zero Shot 0.6384 0.6399 0.2278 0.4686 0.5745 0.5652 0.3675 0.4835 0.5687 0.5811 0.4759 0.5566Few Shot 0.6222 0.6402 0.3657 0.3919 0.5302 0.4961 0.4401 0.4745 0.464 0.4829 0.4123 0.5375PreSQL 0.6888 0.66100.56610.64170.4632 0.4881 0.50850.597 0.5649 0.6267 0.4478 0.5273Few Shot + PreSQL0.73400.74690.5354 0.63360.59990.60540.55760.56460.65940.70160.6105 0.6418 Which method achieved the best performance in schema linking? It can be seen that code-specific models excel in performance when utilizing the PreSQL approach, whereas general-purpose models yield optimal results through the Few-Shot + PreSQL method. This aligns with our expectations, as these two types of models excel in coding tasks (see Section 4.1) and semantic understanding tasks (see Section 4.4), respectively. Can foreign key information facilitate schema linking? The introduction of foreign key information yield improved performance across all methods and all LLMs. This is evident since a valid JOIN operation in SQL queries is typically based on foreign keys. The foreign key information helps the model retrieve more ground truth tables by indicating all potential table pairs involved in a JOIN operation. Core Conclusion 8. Foreign key information is capable of advance the performance of schema linking. PreSQL yields the highest performance on coding-specific models, and integrating the results from Few Shot can further enhance performance on general-purpose models. 5 Conclusion In this study, we conduct a systematic benchmarking of the various sub-tasks within the Text-to- SQL pipeline, encompassing Text-to-SQL, SQL-Debugging, SQL-Optimization, SQL-to-Text, and Schema-Linking. Our comprehensive evaluation involves six distinct LLMs, spanning both general- purpose and coding-specific models. We focus on determining the optimal prompt templates for each task, assessing performance variations among different approaches, and identifying the distinct capabilities and limitations of each LLM. The results of the study demonstrate notable performance variations across the LLMs, underscoring the significance of careful model selection and prompt engineering in attaining optimal outcomes in text-to-SQL tasks. Our benchmarking provides a meticulous perspective on the pipeline, equipping the research community with strategies to improve the semantic understanding and computational performance of LLMs. This advancement contributes to the development of more reliable Text-to-SQL systems. References [1] Ruichu Cai, Jinjie Yuan, Boyan Xu, and Zhifeng Hao. Sadga: Structure-aware dual graph aggregation network for text-to-sql. Advances in Neural Information Processing Systems, 34:7664–7676, 2021. 13"
Zhang et al. - 2024 - Benchmarking the Text-to-SQL Capability of Large L.pdf,17,caption,Table 8: RES results of different Schema Linking methods.
